name,popularity,price,rating,distance,latitude,longitude,stationId,totalBikes,poiCat
Lindy's Chili & Gertie's Ice Cream,9.06,1.0,63.0,61.0,41.69239474587557,-87.70096063613892,e11ff4c116a942366ec258d2a5e8a85f,11.0,restaurant
Rosati’S Pizza,9.15,1.0,71.0,69.0,41.69239474587557,-87.70096063613892,e11ff4c116a942366ec258d2a5e8a85f,11.0,restaurant
Hinky Dinks Pub,9.57,1.0,61.0,166.0,41.69239474587557,-87.70096063613892,e11ff4c116a942366ec258d2a5e8a85f,11.0,restaurant
Joseph's Restaurant and Bar,9.35,2.0,73.0,179.0,41.69239474587557,-87.70096063613892,e11ff4c116a942366ec258d2a5e8a85f,11.0,restaurant
Lanigan's Irish Pub,9.4,2.0,51.0,181.0,41.69239474587557,-87.70096063613892,e11ff4c116a942366ec258d2a5e8a85f,11.0,restaurant
Mackells Inn,9.47,1.0,,209.0,41.69239474587557,-87.70096063613892,e11ff4c116a942366ec258d2a5e8a85f,11.0,restaurant
Blackthorn Pub,,,,226.0,41.69239474587557,-87.70096063613892,e11ff4c116a942366ec258d2a5e8a85f,11.0,restaurant
Barraco's Pizza Chicago,9.91,2.0,83.0,274.0,41.69239474587557,-87.70096063613892,e11ff4c116a942366ec258d2a5e8a85f,11.0,restaurant
La Fiesta Mexican Restaurant,9.75,2.0,61.0,291.0,41.69239474587557,-87.70096063613892,e11ff4c116a942366ec258d2a5e8a85f,11.0,restaurant
Quetips BBQ Tips And Things,4.84,2.0,,391.0,41.862355,-87.7157109,b9bf2272aa09f748fe2931608e579c85,8.0,restaurant
Sir Chicken,9.53,,,401.0,41.862355,-87.7157109,b9bf2272aa09f748fe2931608e579c85,8.0,restaurant
Goldy Fast Food,,,,429.0,41.862355,-87.7157109,b9bf2272aa09f748fe2931608e579c85,8.0,restaurant
Uncle Remus Chicken & BBQ,2.52,,,467.0,41.862355,-87.7157109,b9bf2272aa09f748fe2931608e579c85,8.0,restaurant
Popeyes Louisiana Kitchen,9.89,1.0,56.0,491.0,41.862355,-87.7157109,b9bf2272aa09f748fe2931608e579c85,8.0,restaurant
Falcon Holdings,,,,573.0,41.862355,-87.7157109,b9bf2272aa09f748fe2931608e579c85,8.0,restaurant
Dave's Red Hots,9.4,1.0,67.0,580.0,41.862355,-87.7157109,b9bf2272aa09f748fe2931608e579c85,8.0,restaurant
