name,popularity,price,rating,distance,latitude,longitude,ll,poiCat
Garrett Popcorn Shops,9.91,2,88,535,41.731767,-87.604899,-45.873132,restaurant
Subway,9.05,1,70,579,41.731767,-87.604899,-45.873132,restaurant
New China Express,9.6,1,61,596,41.731767,-87.604899,-45.873132,restaurant
Sizzlin Skillets,9.44,2,64,627,41.731767,-87.604899,-45.873132,restaurant
Licorice Lounge,9.72,1,82,645,41.731767,-87.604899,-45.873132,restaurant
La Submarine,2.18,1,,728,41.731767,-87.604899,-45.873132,restaurant
Captain Hooks Fish & Chicken,9.93,1,69,783,41.731767,-87.604899,-45.873132,restaurant
Noon O Kabab,9.91,2,89,23,41.96668636,-87.70805198,-45.74136562,restaurant
Salam Restaurant,9.73,2,67,110,41.96668636,-87.70805198,-45.74136562,restaurant
Golden Crust Pizzeria,9.59,2,73,138,41.96668636,-87.70805198,-45.74136562,restaurant
Kabobi - Persian and Mediterranean Grill,9.91,1,79,162,41.96668636,-87.70805198,-45.74136562,restaurant
Campesino Restaurant,5.13,1,,187,41.96668636,-87.70805198,-45.74136562,restaurant
Sushi Sport,,,,211,41.96668636,-87.70805198,-45.74136562,restaurant
Thai Valley,9.35,2,63,236,41.96668636,-87.70805198,-45.74136562,restaurant
La Michoacana Premium,9.89,1,87,243,41.96668636,-87.70805198,-45.74136562,restaurant
Lindo Michoacan,9.93,,80,244,41.96668636,-87.70805198,-45.74136562,restaurant
Pisco Peruvian Restaurant & Bar,9.76,2,,245,41.96668636,-87.70805198,-45.74136562,restaurant
Corliss Cozy Corner Restaurant Corporation,,,,113,41.705588,-87.602938,-45.89735,restaurant
Frankie's Fast Food Corner,,,,114,41.705588,-87.602938,-45.89735,restaurant
Popeyes Louisiana Kitchen,9.72,1,53,499,41.705588,-87.602938,-45.89735,restaurant
Infinite Styles,,,,533,41.705588,-87.602938,-45.89735,restaurant
Judi's Sports Bar,9.84,1,69,682,41.705588,-87.602938,-45.89735,restaurant
Damm Donuts & Sweets,,,,796,41.705588,-87.602938,-45.89735,restaurant
